City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Torrington,US,2022-09-17 15:48:37,41.8007,-73.1212,68.13,62,98,1.01
68,Castro,BR,2022-09-17 15:48:38,-24.7911,-50.0119,61.23,54,26,9.89
69,Arman,RU,2022-09-17 15:48:38,59.7,150.1667,40.41,58,0,6.31
70,Severo-Kurilsk,RU,2022-09-17 15:48:38,50.6789,156.125,49.28,89,16,12.41
71,Barrow,US,2022-09-17 15:48:39,71.2906,-156.7887,33.82,93,100,24.16
72,East London,ZA,2022-09-17 15:48:39,-33.0153,27.9116,63.54,82,20,5.75
73,Ahipara,NZ,2022-09-17 15:48:40,-35.1667,173.1667,46.71,82,7,4.36
74,Tuatapere,NZ,2022-09-17 15:48:40,-46.1333,167.6833,39.54,90,95,5.75
75,Iquitos,PE,2022-09-17 15:46:08,-3.7481,-73.2472,80.64,89,20,4.61
76,Lorengau,PG,2022-09-17 15:48:40,-2.0226,147.2712,81.19,76,66,5.68
77,Japura,ID,2022-09-17 15:48:41,-0.3167,102.35,74.59,95,98,1.19
78,Westport,US,2022-09-17 15:45:58,41.1415,-73.3579,71.29,57,100,3.44
79,Chapais,CA,2022-09-17 15:48:41,49.7834,-74.8492,55.18,41,98,6.17
80,Kaitangata,NZ,2022-09-17 15:48:42,-46.2817,169.8464,39.2,93,56,3.98
81,Hamilton,US,2022-09-17 15:47:08,39.1834,-84.5333,81.64,66,20,9.22
82,Vaini,TO,2022-09-17 15:48:42,-21.2,-175.2,73.56,94,40,9.22
83,Lagoa,PT,2022-09-17 15:48:42,39.05,-27.9833,73.31,81,6,8.41
84,Cidreira,BR,2022-09-17 15:48:43,-30.1811,-50.2056,64.36,68,0,15.14
85,Phanat Nikhom,TH,2022-09-17 15:48:43,13.4458,101.1844,83.48,33,99,6.49
86,Puquio,PE,2022-09-17 15:48:44,-14.7,-74.1333,64.51,18,4,6.49
87,Pisco,PE,2022-09-17 15:48:44,-13.7,-76.2167,64.45,72,21,12.66
88,Beringovskiy,RU,2022-09-17 15:48:44,63.05,179.3167,39.65,94,100,26.96
89,Luderitz,NA,2022-09-17 15:48:45,-26.6481,15.1594,62.67,69,65,27.78
90,Fortuna,US,2022-09-17 15:48:45,40.5982,-124.1573,55.92,88,100,5.01
91,Dikson,RU,2022-09-17 15:49:45,73.5069,80.5464,33.24,81,77,12.28
92,Tiksi,RU,2022-09-17 15:49:46,71.6872,128.8694,35.49,98,100,5.53
93,Porto Novo,BJ,2022-09-17 15:49:46,6.4965,2.6036,82.22,68,100,8.72
94,Chokurdakh,RU,2022-09-17 15:49:46,70.6333,147.9167,31.5,76,68,6.76
95,Gayny,RU,2022-09-17 15:49:47,60.3071,54.3241,52.12,92,100,7.96
96,Okha,RU,2022-09-17 15:49:47,53.5739,142.9478,46.67,82,40,9.42
97,Taoudenni,ML,2022-09-17 15:49:48,22.6783,-3.9836,107.19,9,0,9.89
98,Smidovich,RU,2022-09-17 15:49:48,48.6,133.8167,54.25,91,100,6.87
99,Yar-Sale,RU,2022-09-17 15:49:48,66.8333,70.8333,50.02,68,100,9.89
100,Hayden,US,2022-09-17 15:44:54,47.766,-116.7866,54.91,82,0,1.01
101,Lubao,PH,2022-09-17 15:49:49,14.9167,120.55,80.31,80,100,4.09
102,Mar Del Plata,AR,2022-09-17 15:49:49,-38.0023,-57.5575,66.22,87,0,25.01
103,Borova,UA,2022-09-17 15:49:49,50.1763,30.1043,57.34,94,100,4.23
104,Merauke,ID,2022-09-17 15:49:50,-8.4667,140.3333,78.19,87,100,9.75
105,Aklavik,CA,2022-09-17 15:49:50,68.2191,-135.0107,39.2,100,100,8.05
106,Xingyi,CN,2022-09-17 15:49:50,24.1877,102.817,60.66,96,14,0.43
107,Sinnamary,GF,2022-09-17 15:49:51,5.3833,-52.95,87.03,66,10,12.37
108,Pangkalanbuun,ID,2022-09-17 15:49:51,-2.6833,111.6167,75.52,96,100,2.8
109,Victoria,HK,2022-09-17 15:45:18,22.2855,114.1577,88.18,79,54,8.01
110,Fomboni,KM,2022-09-17 15:49:52,-12.28,43.7425,76.82,70,6,7.78
111,Rawson,AR,2022-09-17 15:49:52,-43.3002,-65.1023,49.23,64,100,11.27
112,Hobart,AU,2022-09-17 15:47:35,-42.8794,147.3294,48.06,83,100,8.05
113,Tautira,PF,2022-09-17 15:49:53,-17.7333,-149.15,76.15,79,56,21.99
114,Hithadhoo,MV,2022-09-17 15:49:53,-0.6,73.0833,82.36,70,10,8.05
115,Ketchikan,US,2022-09-17 15:49:53,55.3422,-131.6461,48.67,93,40,4.61
116,Avarua,CK,2022-09-17 15:49:53,-21.2078,-159.775,66.25,100,20,2.3
117,Saskylakh,RU,2022-09-17 15:49:54,71.9167,114.0833,33.64,92,100,14.25
118,Codrington,AU,2022-09-17 15:49:54,-38.2667,141.9667,49.89,82,92,20.51
119,Niquero,CU,2022-09-17 15:49:54,20.0431,-77.5828,88.03,59,6,6.06
120,Kashi,CN,2022-09-17 15:49:55,39.4547,75.9797,74.41,31,75,4.47
121,Alvaraes,BR,2022-09-17 15:49:55,-3.2208,-64.8042,87.67,40,55,0.69
122,Qaanaaq,GL,2022-09-17 15:49:55,77.484,-69.3632,30.79,63,1,5.5
123,Sitka,US,2022-09-17 15:49:56,57.0531,-135.33,44.49,100,0,3.44
124,Bambous Virieux,MU,2022-09-17 15:49:56,-20.3428,57.7575,72.21,78,40,14.97
125,Hambantota,LK,2022-09-17 15:49:56,6.1241,81.1185,80.94,89,20,10.36
126,Jalu,LY,2022-09-17 15:49:57,29.0331,21.5482,92.62,15,0,6.85
127,Romanovka,RU,2022-09-17 15:49:57,51.7443,42.7527,60.01,60,66,6.24
128,Ponta Do Sol,PT,2022-09-17 15:49:57,32.6667,-17.1,83.71,77,16,10.54
129,Cockburn Town,TC,2022-09-17 15:49:58,21.4612,-71.1419,84.16,74,40,11.5
130,Norman Wells,CA,2022-09-17 15:49:58,65.282,-126.8329,42.84,87,40,6.91
131,Yeppoon,AU,2022-09-17 15:49:59,-23.1333,150.7333,60.58,95,5,4.79
132,Hermanus,ZA,2022-09-17 15:49:59,-34.4187,19.2345,56.8,74,100,8.63
133,Santa Cruz,BO,2022-09-17 15:49:59,-17.8,-63.1667,86.05,39,0,21.85
134,Iqaluit,CA,2022-09-17 15:50:00,63.7506,-68.5145,46.13,65,75,17.27
135,Palauig,PH,2022-09-17 15:50:00,15.435,119.9045,79.9,71,91,4.5
136,Mae Sai,TH,2022-09-17 15:50:00,20.4335,99.8762,73.42,97,96,0.43
137,Lebu,CL,2022-09-17 15:50:01,-37.6167,-73.65,45.01,76,99,14.88
138,Saint-Philippe,RE,2022-09-17 15:50:01,-21.3585,55.7679,71.19,82,39,14.56
139,Ribeira Grande,PT,2022-09-17 15:51:02,38.5167,-28.7,75.6,88,75,10.36
140,Les Cayes,HT,2022-09-17 15:51:03,18.2,-73.75,90.03,56,7,6.26
141,Bredasdorp,ZA,2022-09-17 15:51:03,-34.5322,20.0403,56.08,74,100,10.13
142,Galesong,ID,2022-09-17 15:51:03,-5.3166,119.3661,75.22,70,84,4.05
143,Boyolangu,ID,2022-09-17 15:51:04,-8.1181,111.8935,74.64,88,53,4.09
144,Evensk,RU,2022-09-17 15:51:04,61.95,159.2333,36.88,62,83,8.34
145,Santa Fe,AR,2022-09-17 15:48:46,-31.6333,-60.7,81.01,40,100,17.0
146,Carutapera,BR,2022-09-17 15:51:05,-1.195,-46.02,81.45,76,100,8.84
147,Ola,RU,2022-09-17 15:51:05,59.5833,151.2833,42.03,52,0,5.41
148,Thinadhoo,MV,2022-09-17 15:51:06,0.5333,72.9333,82.42,67,11,7.61
149,Saldanha,ZA,2022-09-17 15:51:06,-33.0117,17.9442,59.05,76,100,16.08
150,Jinchang,CN,2022-09-17 15:51:06,38.4953,102.1739,69.98,47,100,5.32
151,Livny,RU,2022-09-17 15:51:07,52.4253,37.6069,58.39,59,99,5.82
152,San Cristobal,VE,2022-09-17 15:51:07,7.7669,-72.225,78.98,44,95,5.77
153,Klaksvik,FO,2022-09-17 15:51:08,62.2266,-6.589,50.92,73,100,5.19
154,Fort Nelson,CA,2022-09-17 15:51:08,58.8053,-122.7002,45.99,81,75,0.0
155,Comodoro Rivadavia,AR,2022-09-17 15:49:18,-45.8667,-67.5,49.86,43,0,13.8
156,Salalah,OM,2022-09-17 15:51:08,17.0151,54.0924,78.76,90,99,4.65
157,Tasiilaq,GL,2022-09-17 15:51:09,65.6145,-37.6368,35.69,96,100,15.86
158,Mahebourg,MU,2022-09-17 15:51:09,-20.4081,57.7,72.25,78,40,14.97
159,Wajid,SO,2022-09-17 15:51:10,3.8093,43.2471,86.58,32,37,13.49
160,Atuona,PF,2022-09-17 15:51:10,-9.8,-139.0333,77.05,70,29,20.78
161,Havelock,US,2022-09-17 15:51:11,34.8791,-76.9013,79.99,77,0,8.05
162,Bonavista,CA,2022-09-17 15:51:11,48.6499,-53.1147,52.47,77,100,24.14
163,Fort Wellington,GY,2022-09-17 15:51:11,6.4,-57.6,87.55,61,56,8.9
164,Meulaboh,ID,2022-09-17 15:51:12,4.1363,96.1285,76.46,86,63,3.0
165,Bengkulu,ID,2022-09-17 15:51:12,-3.8004,102.2655,75.52,90,98,4.32
166,Zyryanka,RU,2022-09-17 15:51:13,65.75,150.85,32.38,76,8,8.05
167,Dunedin,NZ,2022-09-17 15:47:36,-45.8742,170.5036,44.8,81,62,1.01
168,Ornskoldsvik,SE,2022-09-17 15:51:14,63.2909,18.7153,52.75,87,100,9.22
169,Kavieng,PG,2022-09-17 15:51:14,-2.5744,150.7967,81.59,74,32,10.65
170,Quatre Cocos,MU,2022-09-17 15:51:14,-20.2078,57.7625,72.09,78,15,14.43
171,Samarai,PG,2022-09-17 15:51:15,-10.6167,150.6667,81.52,79,55,9.82
172,Nuevo Progreso,MX,2022-09-17 15:51:15,23.1667,-97.95,83.25,67,50,1.43
173,Paamiut,GL,2022-09-17 15:51:16,61.994,-49.6678,45.46,98,100,5.5
174,Kita,ML,2022-09-17 15:51:16,13.0349,-9.4895,85.66,65,49,3.31
175,Vao,NC,2022-09-17 15:51:16,-22.6667,167.4833,71.47,69,81,17.22
176,Houston,US,2022-09-17 15:48:04,29.7633,-95.3633,90.34,69,75,10.36
177,Ghanzi,BW,2022-09-17 15:51:17,-21.5667,21.7833,82.11,11,0,5.82
178,Sakata,JP,2022-09-17 15:51:17,38.9167,139.855,72.73,88,87,10.18
179,Port Blair,IN,2022-09-17 15:51:18,11.6667,92.75,77.04,88,75,5.75
180,Sumbe,AO,2022-09-17 15:51:18,-11.2061,13.8437,74.37,76,84,9.78
181,Monrovia,LR,2022-09-17 15:49:15,6.3005,-10.7969,82.17,84,89,13.76
182,Souillac,MU,2022-09-17 15:51:19,-20.5167,57.5167,71.98,78,40,14.97
183,Navahrudak,BY,2022-09-17 15:51:19,53.6,25.8333,53.8,62,100,11.18
184,Kendari,ID,2022-09-17 15:51:20,-3.945,122.4989,76.57,89,100,0.78
185,Antalaha,MG,2022-09-17 15:52:20,-14.9003,50.2788,70.05,81,0,9.13
186,Carnarvon,AU,2022-09-17 15:52:20,-24.8667,113.6333,66.61,76,0,18.16
187,Komsomolskiy,UZ,2022-09-17 15:52:21,40.4272,71.7189,74.12,35,54,4.61
188,Alofi,NU,2022-09-17 15:52:21,-19.0595,-169.9187,66.09,100,10,2.3
189,Along,IN,2022-09-17 15:52:21,28.1667,94.7667,73.72,98,68,0.69
190,Poya,NC,2022-09-17 15:52:22,-21.35,165.15,67.3,80,1,6.26
191,Asau,RO,2022-09-17 15:52:22,46.4333,26.4,58.28,96,100,2.51
192,Lopare,BA,2022-09-17 15:52:23,44.6378,18.8428,51.69,96,100,6.6
193,Saint-Leu,RE,2022-09-17 15:52:23,-21.15,55.2833,70.66,74,29,3.91
194,Avera,US,2022-09-17 15:52:23,33.194,-82.5271,80.11,46,0,9.22
195,Manta,EC,2022-09-17 15:48:28,-0.95,-80.7333,76.78,78,75,4.61
196,Syracuse,IT,2022-09-17 15:48:03,37.0881,15.2792,92.79,47,19,16.51
197,Constitucion,CL,2022-09-17 15:52:24,-35.3333,-72.4167,50.34,91,100,7.0
198,Gamba,GA,2022-09-17 15:52:24,-2.65,10.0,75.76,81,98,10.71
199,Colares,PT,2022-09-17 15:52:25,38.7992,-9.4469,87.1,47,20,12.66
200,Port Lincoln,AU,2022-09-17 15:52:25,-34.7333,135.8667,54.45,76,100,16.96
201,Yarada,IN,2022-09-17 15:52:26,17.65,83.2667,84.52,89,40,3.44
202,Margate,GB,2022-09-17 15:52:26,51.3813,1.3862,64.69,49,26,7.0
203,Sur,OM,2022-09-17 15:52:26,22.5667,59.5289,87.33,60,4,3.27
204,Kurayoshi,JP,2022-09-17 15:52:27,35.4333,133.8167,78.06,88,100,4.97
205,Thompson,CA,2022-09-17 15:52:04,55.7435,-97.8558,51.96,76,40,4.61
206,Lata,PT,2022-09-17 15:52:27,40.1629,-8.3327,86.92,47,84,2.44
207,Ati,TD,2022-09-17 15:52:27,13.2154,18.3353,81.72,69,100,8.34
208,Pampas,PE,2022-09-17 15:52:28,-12.4,-74.9,61.32,46,37,4.03
209,Kuhdasht,IR,2022-09-17 15:52:28,33.535,47.6061,78.8,12,0,1.34
