City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Barrow,US,71.2906,-156.7887,33.82,93,100,14.97,mist
81,Laguna,US,38.421,-121.4238,62.74,78,0,6.91,clear sky
82,Bethel,US,41.3712,-73.414,68.65,89,40,8.05,scattered clouds
83,Lagos,NG,6.5833,3.75,81.61,74,60,9.44,light rain
84,Chokurdakh,RU,70.6333,147.9167,33.96,69,75,5.5,broken clouds
85,Qostanay,KZ,53.1667,63.5833,77.29,16,0,11.18,clear sky
86,Hermanus,ZA,-34.4187,19.2345,59.81,66,95,16.93,light rain
87,Muros,ES,42.7762,-9.0603,82.09,61,100,3.91,overcast clouds
88,Muzhi,RU,65.3667,64.6667,46.31,96,100,6.02,light rain
89,Prince Rupert,CA,54.3161,-130.3201,51.49,98,0,4.61,clear sky
90,Oranjemund,NA,-28.55,16.4333,58.44,63,97,16.98,overcast clouds
91,Marhaura,IN,25.9667,84.8667,89.53,78,100,3.24,overcast clouds
92,Haimen,CN,23.1935,116.6142,89.49,79,61,9.84,broken clouds
93,Dikson,RU,73.5069,80.5464,31.69,81,15,19.95,few clouds
94,Hilo,US,19.7297,-155.09,78.28,89,100,8.05,overcast clouds
95,Champerico,GT,14.3,-91.9167,73.94,88,100,8.39,overcast clouds
96,Ponta Do Sol,PT,32.6667,-17.1,79.72,82,28,3.83,light rain
97,Chuy,UY,-33.6971,-53.4616,62.46,67,100,14.7,overcast clouds
98,Vilhena,BR,-12.7406,-60.1458,79.02,61,0,4.61,clear sky
99,Sai Buri,TH,6.7013,101.6168,78.94,82,100,7.54,overcast clouds
100,Hobart,AU,-42.8794,147.3294,51.66,81,75,8.05,broken clouds
101,Lagoa,PT,39.05,-27.9833,73.44,87,12,7.16,few clouds
102,Vostok,RU,46.4856,135.8833,55.53,98,2,5.12,clear sky
103,Xiaoweizhai,CN,26.1903,107.5125,76.51,77,97,3.65,overcast clouds
104,Port-Gentil,GA,-0.7193,8.7815,84.16,70,40,16.11,scattered clouds
105,Ozinki,RU,51.1786,49.6769,77.72,54,100,10.6,overcast clouds
106,Myitkyina,MM,25.3833,97.4,78.87,92,0,1.1,clear sky
107,Punta Arenas,CL,-53.15,-70.9167,33.91,86,0,6.91,clear sky
108,Armidale,AU,-30.5167,151.65,41.99,90,86,7.43,overcast clouds
109,Zapolyarnyy,RU,69.4154,30.8136,45.68,97,100,13.4,overcast clouds
110,Leningradskiy,RU,69.3833,178.4167,33.08,97,100,22.44,light snow
111,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,37,14.16,scattered clouds
112,Birin,NP,26.8865,88.0718,66.25,92,26,1.66,scattered clouds
113,Nuevo Progreso,MX,23.1667,-97.95,75.47,80,84,2.46,broken clouds
114,Vila Velha,BR,-20.3297,-40.2925,69.75,70,75,11.5,broken clouds
115,Sinnamary,GF,5.3833,-52.95,84.58,65,14,11.59,few clouds
116,Makinsk,KZ,52.6292,70.4169,58.48,34,0,4.79,clear sky
117,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.01,35,3,14.83,clear sky
118,Butaritari,KI,3.0707,172.7902,81.93,76,11,13.42,few clouds
119,Asau,RO,46.4333,26.4,63.52,74,96,19.26,overcast clouds
120,Albany,US,42.6001,-73.9662,66.72,94,29,3.22,scattered clouds
121,High Rock,BS,26.6208,-78.2833,73.42,68,88,11.77,overcast clouds
122,San Cristobal,VE,7.7669,-72.225,66.38,65,83,4.0,broken clouds
123,Tselinnoye,RU,53.0833,85.6667,52.59,49,0,3.44,clear sky
124,Tuktoyaktuk,CA,69.4541,-133.0374,43.14,81,100,15.93,overcast clouds
125,Coahuayana,MX,18.7333,-103.6833,74.14,94,98,4.65,overcast clouds
126,Chicama,PE,-7.8447,-79.1469,55.94,82,62,4.23,broken clouds
127,Klaksvik,FO,62.2266,-6.589,50.92,69,90,7.34,overcast clouds
128,Terekli-Mekteb,RU,44.1671,45.8698,93.25,30,0,18.63,clear sky
129,East London,ZA,-33.0153,27.9116,61.74,94,75,12.66,mist
130,Gornyatskiy,RU,48.2915,40.9575,90.0,28,64,13.44,broken clouds
131,Adrar,MR,20.5022,-10.0711,91.44,22,84,6.6,broken clouds
132,Guanica,PR,17.9716,-66.908,80.51,80,100,33.29,overcast clouds
133,Wabash,US,40.7978,-85.8205,68.54,91,59,9.06,broken clouds
134,Sisimiut,GL,66.9395,-53.6735,42.1,92,100,13.02,overcast clouds
135,Cap Malheureux,MU,-19.9842,57.6142,71.47,72,60,5.01,broken clouds
136,Pisco,PE,-13.7,-76.2167,57.25,94,100,3.44,smoke
137,Kormilovka,RU,55.0026,74.1028,58.69,39,6,7.61,clear sky
138,Antalaha,MG,-14.9003,50.2788,74.59,71,90,10.58,overcast clouds
139,Teahupoo,PF,-17.8333,-149.2667,67.96,71,25,21.18,scattered clouds
140,Castro,BR,-24.7911,-50.0119,57.76,67,0,11.88,clear sky
141,Christchurch,NZ,-43.5333,172.6333,51.91,86,100,11.5,overcast clouds
142,Nizwa,OM,22.9333,57.5333,103.33,10,43,12.86,scattered clouds
143,Luau,AO,-10.7073,22.2247,88.34,29,100,1.43,overcast clouds
144,Wajir,KE,1.7471,40.0573,93.16,29,40,11.5,scattered clouds
145,Lazaro Cardenas,MX,17.9583,-102.2,74.62,95,100,3.96,overcast clouds
146,Sorong,ID,-0.8833,131.25,80.74,76,100,3.36,overcast clouds
147,Shakiso,ET,5.75,38.9167,77.31,38,90,8.12,overcast clouds
148,Porto Walter,BR,-8.2686,-72.7439,82.63,58,0,3.13,clear sky
149,Port Lincoln,AU,-34.7333,135.8667,50.41,70,97,4.23,overcast clouds
150,Bambous Virieux,MU,-20.3428,57.7575,73.65,64,75,16.11,light rain
151,La Ronge,CA,55.1001,-105.2842,41.25,93,40,0.0,mist
152,Zhigalovo,RU,54.8097,105.1578,40.69,80,6,2.06,clear sky
153,Longyearbyen,SJ,78.2186,15.6401,31.84,74,75,9.22,broken clouds
154,Acarau,BR,-2.8856,-40.12,85.44,60,54,15.73,broken clouds
155,Yerbogachen,RU,61.2767,108.0108,37.92,62,100,5.77,overcast clouds
156,Clive,US,41.603,-93.7241,66.42,94,75,4.61,broken clouds
157,Saint-Pierre,RE,-21.3393,55.4781,74.88,60,20,9.22,few clouds
158,Gat,IL,31.61,34.7642,86.77,100,3,13.94,clear sky
159,Wattegama,LK,6.7989,81.4808,84.38,57,100,7.58,overcast clouds
160,New Albany,US,38.2856,-85.8241,66.02,89,40,3.44,scattered clouds
161,Lithgow,AU,-33.4833,150.15,43.99,75,45,14.0,scattered clouds
162,Podor,MR,16.6527,-14.9587,91.35,62,0,2.3,clear sky
163,Skjervoy,NO,70.0311,20.9714,48.2,79,80,13.53,broken clouds
